P_Pa,T_K,rho_kg_m3,u_m_s,M,a_m_s,A_m2,A_over_Astar,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
1.481260334980882180e+05,1.613689425216237623e+03,1.547312080541519974e-01,3.843140967582456597e+03,3.542377146449191994e+00,1.084904517136111281e+03,7.899583384657776763e-01,1.469734291018912486e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.451291770710573765e+05,1.607541083090757638e+03,1.521805424025161058e-01,3.848219253136760926e+03,3.553378306281026244e+00,1.082974826050625552e+03,8.021387243196566041e-01,1.492396157975157145e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.421929524467700394e+05,1.601409317433552360e+03,1.496725633481447437e-01,3.853271524512255837e+03,3.564389291839710872e+00,1.081046768189409022e+03,8.145103534048144800e-01,1.515413837030913058e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.393161329346611747e+05,1.595294093963485921e+03,1.472065482862466301e-01,3.858297935943179255e+03,3.575410261202135676e+00,1.079120339786106115e+03,8.270762095092264454e-01,1.538792879587172635e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.364975166623253026e+05,1.589195378574221650e+03,1.447817869476643593e-01,3.863298640232408161e+03,3.586441372222625379e+00,1.077195537100946922e+03,8.398393223637034000e-01,1.562538922522551843e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.337359260733991396e+05,1.583113137333303257e+03,1.423975811870363262e-01,3.868273788771477939e+03,3.597482782545980751e+00,1.075272356420801316e+03,8.528027683318368801e-01,1.586657689476946054e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.310302074356073717e+05,1.577047336481234197e+03,1.400532447746155873e-01,3.873223531560257470e+03,3.608534649620349199e+00,1.073350794059232840e+03,8.659696711099515998e-01,1.611154992153808507e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.283792303587544156e+05,1.570997942430536796e+03,1.377481031916721332e-01,3.878148017226279535e+03,3.619597130709943489e+00,1.071430846356545771e+03,8.793432024372712652e-01,1.636036731641426911e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.257818873224753042e+05,1.564964921764853898e+03,1.354814934294255313e-01,3.883047393043701959e+03,3.630670382907513094e+00,1.069512509679846062e+03,8.929265828163918117e-01,1.661308899753380786e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.232370932135366020e+05,1.558948241237992988e+03,1.332527637914444896e-01,3.887921804951969989e+03,3.641754563146748058e+00,1.067595780423081351e+03,9.067230822442055027e-01,1.686977580388440501e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.207437848724988435e+05,1.552947867773014877e+03,1.310612736994483662e-01,3.892771397574121238e+03,3.652849828214431938e+00,1.065680655007098039e+03,9.207360209534691808e-01,1.713048950910271628e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.183009206495544495e+05,1.546963768461317613e+03,1.289063935024607199e-01,3.897596314234767306e+03,3.663956334762441092e+00,1.063767129879694494e+03,9.349687701650982730e-01,1.739529283547091865e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.159074799693457462e+05,1.540995910561676283e+03,1.267875042892488979e-01,3.902396696977798001e+03,3.675074239319667591e+00,1.061855201515660383e+03,9.494247528513822809e-01,1.766424946811652319e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.135624629045934853e+05,1.535044261499336699e+03,1.247039977039988562e-01,3.907172686583735413e+03,3.686203698303687215e+00,1.059944866416832383e+03,9.641074445102495449e-01,1.793742406941771961e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.112648897583478829e+05,1.529108788865078395e+03,1.226552757651644954e-01,3.911924422586806031e+03,3.697344868032323983e+00,1.058036121112142382e+03,9.790203739507516989e-01,1.821488229361748878e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.090138006546928809e+05,1.523189460414286259e+03,1.206407506874398877e-01,3.916652043291715927e+03,3.708497904735068129e+00,1.056128962157663182e+03,9.941671240899082607e-01,1.849669080164905921e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.068082551377310738e+05,1.517286244066011477e+03,1.186598447068004103e-01,3.921355685790140342e+03,3.719662964564345753e+00,1.054223386136656927e+03,1.009551332761064346e+00,1.878291727617557783e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.046473317786807456e+05,1.511399107902045898e+03,1.167119899085559270e-01,3.926035485976930886e+03,3.730840203606653027e+00,1.052319389659621493e+03,1.025176693533952132e+00,1.907363043684753023e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.025301277909253840e+05,1.505528020165981616e+03,1.147966280583720411e-01,3.930691578566034423e+03,3.742029777893540299e+00,1.050416969364336637e+03,1.041046956546553881e+00,1.936890005577972573e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
1.004557586528461252e+05,1.499672949262281463e+03,1.129132104361959404e-01,3.935324097106157751e+03,3.753231843412479840e+00,1.048516121915910617e+03,1.057165929349027422e+00,1.966879697325270726e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
9.842335773829030222e+04,1.493833863755340190e+03,1.110611976730504075e-01,3.939933173996163532e+03,3.764446556117604814e+00,1.046616844006823612e+03,1.073537477759742620e+00,1.997339311363950287e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
9.643207595451305679e+04,1.488010732368551771e+03,1.092400595906355409e-01,3.944518940500191547e+03,3.775674071940288812e+00,1.044719132356976615e+03,1.090165526733696932e+00,2.028276150156267477e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
9.448108138744415191e+04,1.482203523983373998e+03,1.074492750436941146e-01,3.949081526762541671e+03,3.786914546799645009e+00,1.042822983713732128e+03,1.107054061243435861e+00,2.059697627828402844e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
9.256955895413459803e+04,1.476412207638378732e+03,1.056883317650968157e-01,3.953621061822317643e+03,3.798168136612895651e+00,1.040928394851958956e+03,1.124207127172605292e+00,2.091611271832935159e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
9.069671006223006407e+04,1.470636752528334910e+03,1.039567262135885350e-01,3.958137673627787535e+03,3.809434997305576776e+00,1.039035362574079500e+03,1.141628832222447043e+00,2.124024724635394534e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
8.886175227633853501e+04,1.464877128003248345e+03,1.022539634241653034e-01,3.962631489050552773e+03,3.820715284821707414e+00,1.037143883710106820e+03,1.159323346831229173e+00,2.156945745424883754e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
8.706391899114490661e+04,1.459133303567439725e+03,1.005795568610228508e-01,3.967102633899451121e+03,3.832009155133768274e+00,1.035253955117695114e+03,1.177294905106953227e+00,2.190382211849398431e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
8.530245911114028422e+04,1.453405248878585780e+03,9.893302827304147062e-02,3.971551232934241398e+03,3.843316764252637796e+00,1.033365573682173363e+03,1.195547805773412797e+00,2.224342121775989867e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
8.357663673683069646e+04,1.447692933746796825e+03,9.731390755175721441e-02,3.975977409879064908e+03,3.854638268237361665e+00,1.031478736316595814e+03,1.214086413129852771e+00,2.258833595076231049e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
8.188573085729365994e+04,1.441996328133660427e+03,9.572173259178075322e-02,3.980381287435684953e+03,3.865973823204864157e+00,1.029593439961778586e+03,1.232915158024373570e+00,2.293864875437256501e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
8.022903504895730293e+04,1.436315402151316448e+03,9.415604915362059402e-02,3.984762987296500341e+03,3.877323585339516043e+00,1.027709681586345141e+03,1.252038538841277138e+00,2.329444332198739787e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
7.860585718046969851e+04,1.430650126061492756e+03,9.261641072886639403e-02,3.989122630157373806e+03,3.888687710902653194e+00,1.025827458186763806e+03,1.271461122502572261e+00,2.365580462216216517e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
7.701551912354333035e+04,1.425000470274570716e+03,9.110237840769665196e-02,3.993460335730227143e+03,3.900066356241965515e+00,1.023946766787387332e+03,1.291187545483780008e+00,2.402281891751010079e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
7.545735646964723128e+04,1.419366405348652506e+03,8.961352074866479889e-02,3.997776222755439903e+03,3.911459677800763313e+00,1.022067604440500986e+03,1.311222514844307963e+00,2.439557378387267761e+01,3.596077203347301798e-02,5.936272908890387989e-08,1.045113532476333876e-13,3.102466601939754554e-13,4.179297621697779417e-08,9.640391268103942757e-01,8.679838186877612984e-17,1.268479538678493801e-14,0.000000000000000000e+00
