P_Pa,T_K,rho_kg_m3,u_m_s,M,a_m_s,A_m2,A_over_Astar,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR
7.615114224432202172e+04,1.673467536117730333e+03,7.670241968951978240e-02,4.215858574326957751e+03,3.821650609037757107e+00,1.103151231134773298e+03,1.403559688943221362e+00,2.611352654797070016e+01,3.595687842906614140e-02,4.745759503495799410e-06,2.321506914622149881e-09,6.287914923095565916e-09,1.339946763898249291e-05,9.640249676870543682e-01,4.348675162829799939e-12,4.296656567778080379e-11,0.000000000000000000e+00
7.463495814424706623e+04,1.667280166543721862e+03,7.545438753173801250e-02,4.220583216557954074e+03,3.832513363535394291e+00,1.101257273285689280e+03,1.425177701932069496e+00,2.651573427774933478e+01,3.595705931388334248e-02,4.513830650095636686e-06,2.070001960659126185e-09,5.612534406599518254e-09,1.254022667470427720e-05,9.640258789033859799e-01,3.834220974671567242e-12,3.903541435223540962e-11,0.000000000000000000e+00
7.314896156543010147e+04,1.661108180208582098e+03,7.422699030852326907e-02,4.225285116834761538e+03,3.843389982085180012e+00,1.099364138567689452e+03,1.447131887458158239e+00,2.692419656908676018e+01,3.595723312575354463e-02,4.291991886064845613e-06,1.844532276960971994e-09,5.006434632507051463e-09,1.173168793587900316e-05,9.640267363046316484e-01,3.378389170114323582e-12,3.544751655317134628e-11,0.000000000000000000e+00
7.169255146843291004e+04,1.654951583511123772e+03,7.301988152487970396e-02,4.229964394879099018e+03,3.854280544446399226e+00,1.097471848792641595e+03,1.469427451445386223e+00,2.733901027930440364e+01,3.595740007979564973e-02,4.079866644204423163e-06,1.642536412153229437e-09,4.462865496943139290e-09,1.097114728776855872e-05,9.640275427657212237e-01,2.974767893876118438e-12,3.217441566437239729e-11,0.000000000000000000e+00
7.026513878062982985e+04,1.648810381603448604e+03,7.183272062275744552e-02,4.234621169514029134e+03,3.865185130850227857e+00,1.095580425298421915e+03,1.492069679155811679e+00,2.776027374182702090e+01,3.595756038757520756e-02,3.877089519014737844e-06,1.461690743014051489e-09,3.975697050908052120e-09,1.025602715449223517e-05,9.640283010265559005e-01,2.617615501928568907e-12,2.918987998337332074e-11,0.000000000000000000e+00
6.886614615794588462e+04,1.642684578428487612e+03,7.066517287583169715e-02,4.239255558672552979e+03,3.876103825701120442e+00,1.093689887913604707e+03,1.515063936366664477e+00,2.818808678808127510e+01,3.595771425701158736e-02,3.683306061397223536e-06,1.299888835417366206e-09,3.539366309323191158e-09,9.583871613192614542e-06,9.640290136972871071e-01,2.301793986525491078e-12,2.646974016152118194e-11,0.000000000000000000e+00
6.749500775133977004e+04,1.636574176756831775e+03,6.951690928625962884e-02,4.243867679406283969e+03,3.887036703420073902e+00,1.091800258966488855e+03,1.538415670564151405e+00,2.862255076970670942e+01,3.595786189229208119e-02,3.498172571650433158e-06,1.155222455664569668e-09,3.148828256641629214e-09,8.952341622719001620e-06,9.640296832634484003e-01,2.022708638801393395e-12,2.399173759423566987e-11,0.000000000000000000e+00
6.615116897793441603e+04,1.630479178223126382e+03,6.838760648336118797e-02,4.248457647893937974e+03,3.897983849107182763e+00,1.089911557449636348e+03,1.562130412154679959e+00,2.906376858109085148e+01,3.595800349379824762e-02,3.321355891085271079e-06,1.025964113372023014e-09,2.799510751760364229e-09,8.359210386208346948e-06,9.640303120909379242e-01,1.776253403575211905e-12,2.173538309622083917e-11,0.000000000000000000e+00
6.483408629670655500e+04,1.624399583361781424e+03,6.727694662419055061e-02,4.253025579449822544e+03,3.908945348251036567e+00,1.088023801957921023e+03,1.586213775693581463e+00,2.951184468222984236e+01,3.595813925804142164e-02,3.152533192551718310e-06,9.105510244466120756e-10,2.487273052989096526e-09,7.802358846684142625e-06,9.640309024308547636e-01,1.558761424749146098e-12,1.968182523117448930e-11,0.000000000000000000e+00
6.354322698864038830e+04,1.618335391642243167e+03,6.618461729596110399e-02,4.257571588532148780e+03,3.919921285446161807e+00,1.086137011051627724e+03,1.610671461131640392e+00,2.996688512192040221e+01,3.595826937760680797e-02,2.991391770175101473e-06,8.075703897199904851e-10,2.208367701082932436e-09,7.279771314664654974e-06,9.640314564241895257e-01,1.366960320354745783e-12,1.781372769927277673e-11,0.000000000000000000e+00
